epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.698,1.40137,2.14579,1.17678,0.61309,0.63289,0.62486,0.34166,1.81654,1.5981,1.14881,0.0033304,0.0033304,0.0033304
2,367.131,1.40188,1.19183,1.15767,0.67009,0.708,0.72043,0.37954,1.78133,1.20249,1.14941,0.00665054,0.00665054,0.00665054
3,539.937,1.47862,1.16026,1.19927,0.55487,0.67093,0.62869,0.34476,1.82652,1.32675,1.18449,0.00995748,0.00995748,0.00995748
4,712.934,1.49868,1.14721,1.22605,0.60539,0.73423,0.70006,0.39943,1.71956,1.1283,1.13064,0.0099406,0.0099406,0.0099406
5,886.726,1.42473,1.04043,1.18271,0.62507,0.71569,0.7137,0.39649,1.68736,1.1227,1.11269,0.0099208,0.0099208,0.0099208
6,1060.01,1.37521,0.98723,1.16549,0.65175,0.78746,0.76641,0.45769,1.61045,0.97905,1.0823,0.009901,0.009901,0.009901
7,1235.15,1.33904,0.94176,1.1463,0.65765,0.74084,0.74793,0.43776,1.59642,1.03129,1.07709,0.0098812,0.0098812,0.0098812
8,1409.65,1.32695,0.92585,1.13443,0.6626,0.72948,0.75485,0.46953,1.53624,0.97378,1.05781,0.0098614,0.0098614,0.0098614
9,1583.31,1.30934,0.90442,1.13482,0.63034,0.81743,0.75056,0.44629,1.58304,0.99083,1.06225,0.0098416,0.0098416,0.0098416
10,1756.68,1.28406,0.87943,1.11862,0.79403,0.72161,0.80001,0.49719,1.49912,0.95588,1.0404,0.0098218,0.0098218,0.0098218
11,1931.08,1.26968,0.86828,1.11125,0.64267,0.77287,0.77104,0.4707,1.55006,0.94963,1.05886,0.009802,0.009802,0.009802
12,2106.05,1.25334,0.84728,1.10185,0.67876,0.7657,0.78865,0.46572,1.52329,0.95893,1.04448,0.0097822,0.0097822,0.0097822
